Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-17;Mujer;Villaverde;Entre 46 y 55 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
ene-17;Hombre;Otro Municipio;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;3613;Asistentes de dirección y administrativos
ene-17;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5721;Cuidadores de niños en guarderías y centros educativos;9443;Barrenderos y afines
ene-17;Mujer;Villaverde;Entre 56 y 65 años;Española;;;;;;
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Fuencarral-el Pardo;Entre 26 y 35 años;Española;9320;Preparadores de comidas rápidas;7510;Electricistas de la construcción y afines;5500;Cajeros y taquilleros (excepto bancos)
ene-17;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;3402;Comerciales de préstamos y créditos;3510;Agentes y representantes comerciales;3613;Asistentes de dirección y administrativos
ene-17;Mujer;San Blas;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;5210;Jefes de sección de tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
ene-17;Mujer;Centro;Entre 26 y 35 años;Española;4111;Empleados de contabilidad;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes
ene-17;Mujer;Centro;Entre 36 y 45 años;Española;3326;Técnicos en prevención de riesgos laborales y salud ambiental;3613;Asistentes de dirección y administrativos;4121;Empleados de control de abastecimientos e inventario
ene-17;Mujer;Usera;Entre 26 y 35 años;Comunitaria;5812;Especialistas en tratamientos de estética, bienestar y afines;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Chamberí;Menor de 25 años;Extracomunitaria;5120;Camareros asalariados;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-17;Mujer;Hortaleza;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3614;Secretarios de centros médicos o clínicas
ene-17;Mujer;Arganzuela;Entre 36 y 45 años;Española;2651;Profesionales de la publicidad y la comercialización;2484;Diseñadores gráficos y multimedia;;
ene-17;Mujer;Retiro;Entre 46 y 55 años;Española;2159;Profesionales de la salud no clasificados bajo otros epígrafes;2823;Psicólogos;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-17;Mujer;Tetuán;Entre 36 y 45 años;Española;9100;Empleados domésticos;;;;
ene-17;Hombre;Villaverde;Entre 36 y 45 años;Española;;;;;;
ene-17;Mujer;Latina;Entre 26 y 35 años;Española;;;;;;
ene-17;Mujer;Tetuán;Menor de 25 años;Española;2824;Profesionales del trabajo y la educación social;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes
ene-17;Hombre;Moratalaz;Entre 46 y 55 años;Española;5833;Conserjes de edificios;5999;Trabajadores de los servicios de protección y seguridad no clasificados bajo otros epígrafes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-17;Hombre;Fuencarral-el Pardo;Entre 46 y 55 años;Extracomunitaria;8333;Operadores de carretillas elevadoras;9811;Peones del transporte de mercancías y descargadores;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-17;Hombre;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5621;Técnicos auxiliares de farmacia;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
ene-17;Hombre;Vicálvaro;Entre 26 y 35 años;Española;7314;Montadores de estructuras metálicas;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
ene-17;Hombre;Villa De Vallecas;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;8333;Operadores de carretillas elevadoras;7131;Carpinteros (excepto ebanistas)
ene-17;Hombre;Puente De Vallecas;Menor de 25 años;Española;;;;;;
ene-17;Mujer;Arganzuela;Entre 46 y 55 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina
ene-17;Mujer;Tetuán;Entre 36 y 45 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;4424;Teleoperadores;3724;Monitores de actividades recreativas y de entretenimiento
ene-17;Hombre;Centro;Entre 46 y 55 años;Española;2323;Profesores de enseñanza no reglada de música y danza;2322;Profesores de enseñanza no reglada de idiomas;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-17;Hombre;Tetuán;Menor de 25 años;Española;2922;Periodistas;5220;Vendedores en tiendas y almacenes;;
ene-17;Mujer;Moncloa-aravaca;Entre 56 y 65 años;Extracomunitaria;9100;Empleados domésticos;9310;Ayudantes de cocina;5611;Auxiliares de enfermería hospitalaria
ene-17;Hombre;Puente De Vallecas;Menor de 25 años;Extracomunitaria;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;7510;Electricistas de la construcción y afines
ene-17;Hombre;Fuencarral-el Pardo;Menor de 25 años;Española;5120;Camareros asalariados;9820;Reponedores;5220;Vendedores en tiendas y almacenes
ene-17;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores;9431;Ordenanzas
ene-17;Hombre;Puente De Vallecas;Entre 36 y 45 años;Comunitaria;;;;;;
ene-17;Hombre;Moratalaz;Entre 26 y 35 años;Española;;;;;;
ene-17;Hombre;Carabanchel;Entre 36 y 45 años;Española;8432;Conductores asalariados de camiones;8412;Conductores asalariados de automóviles, taxis y furgonetas;;
ene-17;Hombre;San Blas;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;8432;Conductores asalariados de camiones;9811;Peones del transporte de mercancías y descargadores
ene-17;Mujer;Centro;Entre 36 y 45 años;Española;2322;Profesores de enseñanza no reglada de idiomas;4222;Codificadores y correctores de imprenta;5120;Camareros asalariados
ene-17;Mujer;Latina;Entre 36 y 45 años;Española;7705;Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
